track_id,time_step,x,y,type,determinant,trace
45,3,90.98986412272536,141.8062844735891,0,-0.00039839188537157597,0.0035622789873741567
46,1,60.64760724147293,167.9667412245716,2,0.011897702599924953,-0.0038729123771190643
47,1,53.70950419672554,171.37565834776717,0,-0.000729245628276163,0.006444886093959212
47,2,53.636942192640134,171.7129010280413,0,-0.0006832095969314805,-0.0014979909174144268
47,3,53.58358792050874,172.09690504183132,0,-0.0008504990824013878,0.004046889021992683
48,1,93.08392086898898,171.88554035249496,0,-0.0011028379513780319,0.0014938197564333677
48,2,93.11642529462543,172.03137090316642,0,-0.0009956113184668607,-0.0003755185753107071
48,3,93.18124819078999,172.18804678917186,0,-0.001008549748520502,-0.0010423765052109957
49,1,109.58966377035743,174.6104157930472,2,0.001043966936736905,-4.322268068790436e-05
49,2,109.6013221223124,174.70279471889543,2,0.0010618450678515415,-9.681715164333582e-05
49,3,109.61164315465093,174.79388515307593,2,0.001079802231277535,-0.00014826684491708875
50,1,86.02345855709378,177.36708131692956,2,0.008938174897314785,-0.004212129861116409
50,2,86.00777393438267,177.51167323909314,2,0.00909044826335551,-0.0057543981820344925
51,1,97.39819333868093,177.65512473687687,2,0.0011387189904635956,-0.0016088334377855062
51,2,97.41383564902186,177.7654467296265,2,0.001100756976937243,-0.0015360547695308924
51,3,97.42923475070972,177.8759649124327,2,0.0010584913547884692,-0.0014660181477665901
52,1,115.72387410555648,183.8914821556902,0,-2.086059996147314e-05,0.00010458548786118627
52,2,115.81241097402042,183.96208475201777,0,-2.159975281359203e-05,0.00011369556887075305
52,3,115.88962442414714,184.03739426645808,0,-1.7355336075222955e-05,-0.0008207208593375981
53,1,92.52800845261669,184.15264662663625,0,-0.000612957943410253,-0.0021692346781492233
53,2,92.5788783301547,184.40699568304754,0,-0.0006176313827787708,-0.0019922181963920593
53,3,92.62663672621981,184.64491662797542,0,-0.0006836394079076662,0.0019103121012449265
54,1,36.432309161979184,189.84523337266504,1,0.00010854570746903289,0.001596537884324789
54,2,36.41827575714145,189.95548658863797,1,0.00010936942942998929,0.0016033455030992627
55,1,36.11935563644428,196.36583417779042,0,-0.00010102379714620206,0.001694986771326512
55,2,36.122829584290486,196.36813308743112,0,-9.897437497166249e-05,0.0017375042662024498
55,3,36.12159700349769,196.38879860107693,0,-9.746277332160868e-05,0.0017702917684800923
56,1,59.28854531007245,196.26082968151312,0,-0.0020199568682918783,0.005184456240385771
56,2,59.264679778996204,196.44909610204098,0,-0.0013352036398084474,-0.005353681277483702
56,3,59.23352920307066,196.64830504733158,0,-0.0013468873681009815,-0.005586892366409302
57,1,52.33640457152466,199.2182236296548,1,0.010154115388964234,0.0051120128482580185
57,2,52.450726615888726,199.32386108705333,1,0.01022626083988999,0.004287725314497948
57,3,52.563862417284255,199.43401117115693,1,0.010232768344859065,0.003321874886751175
58,1,87.62204117729998,209.08536835781487,1,0.007507383597127801,0.011247277725487947
59,1,93.27962778904745,210.13346116345537,0,-0.0002596258013362641,0.0007190875476226211
59,2,93.02819832110215,210.63414209613478,0,-0.00031856411546935974,-0.001632091123610735
60,1,44.126189335122056,211.84447492077626,0,-0.0012162330985070174,0.006657550809904933
60,2,44.30394827590425,212.03385050987086,0,-0.000691115317227233,-0.004664821550250053
60,3,44.29538125353251,212.3332160004651,0,-0.0006550572923665254,0.005045277997851372
61,1,96.80898248905191,212.39022654540523,1,8.104755549441857e-05,0.00494570832233876
62,1,97.21170055641126,212.92148705394405,0,-7.3129247184858e-05,-0.0002598618157207966
63,1,43.14885820871376,213.3577678565479,1,0.002159342820173819,0.0024201725609600544
