"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
369129,1,48,36,77,0.40666,0.40666,0
369197,2,47,37,77,0.40666,0.40668,0
115845,1,63,22,24,0.40666,0.40666,0
115776,2,63,21,24,0.40666,0.4067,0
118633,1,22,63,24,0.40666,0.40666,0
118632,2,21,63,24,0.40666,0.4067,0
115913,1,62,23,24,0.40666,0.40666,0
115844,2,62,22,24,0.40666,0.4067,0
118565,1,23,62,24,0.40666,0.40666,0
118564,2,22,62,24,0.40666,0.4067,0
364573,1,46,39,76,0.40666,0.40666,0
364505,2,47,38,76,0.40666,0.40668,0
359811,1,45,39,75,0.40666,0.40666,0
359879,2,44,40,75,0.40666,0.40667,0
360219,1,39,45,75,0.40666,0.40666,0
360151,2,40,44,75,0.40666,0.40667,0
534812,1,62,22,112,0.40666,0.40666,0
534813,2,63,22,112,0.40666,0.40681,0
383277,1,51,34,80,0.40666,0.40666,0
378583,2,49,35,79,0.40666,0.40669,0
383140,1,52,32,80,0.40667,0.40667,0
383208,2,51,33,80,0.40667,0.40668,0
387765,1,54,30,81,0.40667,0.40667,0
387901,2,52,32,81,0.40667,0.40669,0
389397,1,30,54,81,0.40667,0.40667,0
384432,2,33,51,80,0.40667,0.40668,0
107070,1,51,33,22,0.40667,0.40667,0
107274,2,48,36,22,0.40667,0.4067,0
108294,1,33,51,22,0.40667,0.40667,0
108090,2,36,48,22,0.40667,0.4067,0
373822,1,49,35,78,0.40667,0.40667,0
373890,2,48,36,78,0.40667,0.40668,0
392322,1,57,27,82,0.40667,0.40667,0
392323,2,58,27,82,0.40667,0.40669,0
394362,1,27,57,82,0.40667,0.40667,0
394431,2,27,58,82,0.40667,0.40669,0
111628,1,55,30,23,0.40667,0.40667,0
111424,2,58,27,23,0.40667,0.40671,0
113328,1,30,55,23,0.40667,0.40667,0
113532,2,27,58,23,0.40667,0.40671,0
387902,1,53,32,81,0.40667,0.40667,0
387834,2,54,31,81,0.40667,0.40668,0
389330,1,32,53,81,0.40667,0.40667,0
389398,2,31,54,81,0.40667,0.40668,0
107275,1,49,36,22,0.40667,0.40667,0
107139,2,51,34,22,0.40667,0.4067,0
108159,1,36,49,22,0.40667,0.40667,0
108295,2,34,51,22,0.40667,0.4067,0
392459,1,56,29,82,0.40667,0.40667,0
392391,2,57,28,82,0.40667,0.40668,0
394295,1,29,56,82,0.40667,0.40667,0
394363,2,28,57,82,0.40667,0.40668,0
378584,1,50,35,79,0.40667,0.40667,0
378516,2,51,34,79,0.40667,0.40669,0
379604,1,35,50,79,0.40667,0.40667,0
369877,2,37,47,77,0.40667,0.40668,0
111423,1,57,27,23,0.40667,0.40667,0
