time,x,y,persistence,emd_match_next
1,182.0,42.0,2.0,1097
1,215.0,41.0,10.0,418
1,220.0,43.0,1.0,429
1,248.0,42.0,2.0,411
1,252.0,42.0,2.0,419
1,30.0,43.0,1.0,2772
1,122.0,39.0,7.0,409
1,147.0,43.0,1.0,1099
1,224.0,43.0,2.0,1802
1,244.0,45.0,1.0,440
1,246.0,43.0,1.0,1970
1,71.0,38.0,25.0,370
1,93.0,44.0,1.0,1105
1,152.0,37.0,19.0,435
1,161.0,44.0,8.0,428
1,233.0,45.0,1.0,430
1,236.0,45.0,1.0,431
1,59.0,45.0,2.0,1805
1,65.0,45.0,1.0,1090
1,200.0,64.0,17.0,534
1,60.0,46.0,1.0,456
1,133.0,46.0,12.0,443
1,170.0,46.0,1.0,1109
1,186.0,30.0,44.0,345
1,215.0,47.0,5.0,446
1,240.0,49.0,1.0,442
1,164.0,48.0,1.0,437
1,243.0,42.0,7.0,1970
1,248.0,46.0,6.0,453
1,250.0,47.0,1.0,1581
1,67.0,48.0,3.0,1591
1,64.0,55.0,31.0,1145
1,75.0,49.0,1.0,451
1,78.0,56.0,6.0,2366
1,128.0,44.0,30.0,452
1,170.0,48.0,3.0,2487
1,53.0,49.0,1.0,460
1,218.0,48.0,3.0,41
1,251.0,51.0,1.0,1585
1,115.0,50.0,1.0,2626
1,151.0,50.0,1.0,1586
1,164.0,50.0,1.0,482
1,190.0,46.0,15.0,1100
1,209.0,45.0,17.0,423
1,80.0,52.0,4.0,477
1,113.0,52.0,1.0,470
1,217.0,53.0,1.0,41
1,232.0,51.0,8.0,438
1,246.0,55.0,2.0,486
1,70.0,55.0,22.0,1130
1,185.0,52.0,21.0,1587
1,245.0,53.0,1.0,1588
1,46.0,55.0,7.0,1125
1,55.0,53.0,21.0,474
1,124.0,54.0,1.0,1590
1,205.0,53.0,16.0,458
1,207.0,55.0,2.0,483
1,214.0,53.0,12.0,473
1,220.0,54.0,1.0,1120
1,57.0,56.0,4.0,509
1,103.0,56.0,1.0,490
1,127.0,53.0,31.0,480
1,176.0,50.0,49.0,2582
1,194.0,51.0,27.0,497
1,201.0,58.0,6.0,44
1,229.0,43.0,20.0,1576
1,60.0,56.0,1.0,509
1,106.0,56.0,1.0,490
1,160.0,56.0,1.0,481
1,167.0,56.0,3.0,1976
1,184.0,58.0,49.0,1132
1,210.0,56.0,1.0,484
1,29.0,57.0,9.0,1134
1,137.0,49.0,37.0,462
1,159.0,50.0,20.0,437
1,180.0,55.0,21.0,472
1,107.0,58.0,2.0,1137
1,108.0,59.0,1.0,1152
1,123.0,58.0,2.0,1131
1,126.0,58.0,18.0,1133
1,162.0,58.0,2.0,1135
1,214.0,60.0,1.0,546
1,239.0,54.0,12.0,1123
1,101.0,61.0,1.0,501
1,121.0,59.0,1.0,1138
1,229.0,57.0,22.0,467
1,240.0,59.0,1.0,494
1,154.0,60.0,10.0,515
1,34.0,62.0,1.0,519
1,118.0,63.0,9.0,510
1,140.0,63.0,1.0,2491
1,194.0,61.0,21.0,493
1,205.0,65.0,1.0,535
1,40.0,64.0,1.0,1978
1,133.0,61.0,19.0,1149
1,152.0,63.0,4.0,1163
1,172.0,62.0,49.0,496
1,170.0,67.0,1.0,2299
1,40.0,66.0,1.0,1816
1,192.0,66.0,24.0,2672
1,99.0,69.0,1.0,530
1,179.0,67.0,2.0,533
1,84.0,68.0,1.0,1146
1,91.0,68.0,1.0,548
1,102.0,66.0,17.0,1604
1,144.0,64.0,30.0,2490
1,144.0,68.0,1.0,2301
1,155.0,66.0,6.0,1160
1,237.0,68.0,1.0,504
1,239.0,68.0,1.0,1164
1,17.0,69.0,1.0,47
1,45.0,69.0,1.0,1615
1,154.0,69.0,2.0,528
1,73.0,71.0,1.0,1187
1,102.0,70.0,5.0,531
1,127.0,65.0,28.0,2111
1,125.0,70.0,1.0,575
1,135.0,70.0,1.0,1168
1,141.0,71.0,2.0,543
1,202.0,70.0,2.0,535
1,251.0,70.0,1.0,529
1,169.0,72.0,1.0,1825
1,221.0,61.0,14.0,2110
1,239.0,71.0,1.0,1180
1,252.0,71.0,1.0,539
1,223.0,68.0,8.0,1814
1,72.0,73.0,1.0,1819
1,118.0,72.0,19.0,567
1,112.0,76.0,1.0,1202
1,148.0,71.0,10.0,538
1,94.0,73.0,22.0,1613
1,137.0,73.0,12.0,537
1,70.0,76.0,1.0,547
1,86.0,74.0,5.0,541
1,143.0,76.0,5.0,1189
1,165.0,76.0,1.0,550
1,201.0,76.0,1.0,1821
1,36.0,78.0,1.0,52
1,132.0,75.0,7.0,555
1,157.0,74.0,46.0,1817
1,65.0,76.0,23.0,556
1,30.0,80.0,1.0,53
1,62.0,79.0,1.0,563
1,103.0,79.0,2.0,562
1,225.0,79.0,2.0,566
1,132.0,80.0,2.0,1631
1,148.0,78.0,10.0,549
1,195.0,73.0,26.0,1173
1,217.0,76.0,18.0,545
1,237.0,80.0,1.0,1212
1,27.0,82.0,1.0,1623
1,126.0,74.0,17.0,1618
1,128.0,79.0,3.0,568
1,154.0,80.0,3.0,1209
1,184.0,81.0,1.0,588
1,214.0,81.0,1.0,590
1,29.0,82.0,1.0,583
1,55.0,82.0,1.0,572
1,62.0,82.0,3.0,1827
1,67.0,81.0,6.0,1626
1,118.0,82.0,2.0,2227
1,188.0,81.0,4.0,579
1,217.0,84.0,1.0,595
1,226.0,83.0,1.0,592
1,25.0,160.0,49.0,2444
1,87.0,84.0,7.0,1630
1,99.0,83.0,2.0,2121
1,142.0,84.0,4.0,576
1,145.0,89.0,2.0,1239
1,147.0,83.0,3.0,600
1,150.0,84.0,2.0,1219
1,164.0,83.0,1.0,1989
1,216.0,83.0,1.0,591
1,22.0,84.0,2.0,630
1,93.0,79.0,44.0,573
1,124.0,85.0,18.0,609
1,139.0,84.0,1.0,614
1,149.0,86.0,1.0,1226
1,184.0,73.0,32.0,2115
1,188.0,84.0,1.0,615
1,202.0,88.0,6.0,625
1,54.0,85.0,1.0,1220
1,64.0,85.0,4.0,607
1,70.0,84.0,15.0,1833
1,108.0,81.0,49.0,586
1,119.0,79.0,9.0,574
1,196.0,85.0,10.0,1634
1,190.0,85.0,2.0,1830
1,201.0,85.0,1.0,616
1,208.0,89.0,3.0,618
1,219.0,85.0,2.0,603
1,60.0,87.0,1.0,606
1,114.0,87.0,1.0,613
1,116.0,87.0,1.0,1232
1,131.0,86.0,1.0,636
1,145.0,86.0,1.0,611
1,176.0,90.0,2.0,63
1,207.0,86.0,2.0,617
1,10.0,87.0,1.0,1637
1,77.0,86.0,18.0,1230
1,209.0,87.0,1.0,60
1,211.0,87.0,2.0,629
1,220.0,87.0,2.0,1644
1,89.0,90.0,1.0,1840
1,94.0,88.0,3.0,1991
1,142.0,89.0,1.0,624
1,144.0,88.0,2.0,633
1,214.0,88.0,1.0,645
1,245.0,88.0,1.0,2302
1,45.0,91.0,1.0,1842
1,56.0,89.0,3.0,1993
1,112.0,93.0,11.0,632
1,109.0,88.0,8.0,1231
1,215.0,89.0,1.0,1257
1,217.0,89.0,3.0,646
1,221.0,88.0,2.0,1240
1,96.0,108.0,49.0,89
1,183.0,91.0,1.0,1236
1,138.0,80.0,35.0,599
1,132.0,92.0,1.0,1242
1,145.0,92.0,1.0,64
1,185.0,88.0,30.0,1215
1,193.0,93.0,1.0,657
1,17.0,91.0,4.0,1217
1,27.0,94.0,41.0,641
1,50.0,92.0,1.0,1993
1,66.0,88.0,22.0,667
1,115.0,94.0,1.0,643
1,186.0,93.0,1.0,2229
1,61.0,95.0,1.0,1651
1,137.0,92.0,6.0,1248
1,217.0,94.0,1.0,1845
1,241.0,83.0,34.0,1828
1,57.0,93.0,10.0,1237
1,123.0,96.0,3.0,643
1,141.0,94.0,2.0,655
1,144.0,95.0,3.0,651
1,247.0,95.0,1.0,1646
1,14.0,96.0,1.0,640
1,23.0,97.0,1.0,2370
1,59.0,96.0,1.0,1276
1,78.0,93.0,49.0,1247
1,145.0,97.0,1.0,2131
1,159.0,98.0,1.0,1265
1,164.0,99.0,1.0,1643
1,228.0,96.0,1.0,666
1,180.0,97.0,1.0,2127
1,229.0,97.0,1.0,680
1,244.0,97.0,1.0,1262
1,226.0,98.0,1.0,1654
1,97.0,99.0,3.0,1254
1,181.0,99.0,1.0,2307
1,230.0,99.0,1.0,1261
1,33.0,100.0,1.0,1658
1,62.0,100.0,1.0,677
1,200.0,98.0,7.0,1269
1,219.0,100.0,1.0,673
1,228.0,100.0,1.0,668
1,127.0,101.0,49.0,78
1,104.0,102.0,1.0,1283
1,166.0,102.0,1.0,79
1,199.0,101.0,2.0,1996
1,221.0,102.0,1.0,686
1,244.0,102.0,1.0,1271
1,113.0,109.0,30.0,1291
1,167.0,103.0,2.0,75
1,228.0,102.0,5.0,679
1,228.0,104.0,1.0,681
1,233.0,102.0,2.0,658
1,134.0,104.0,1.0,1274
1,142.0,104.0,1.0,684
1,156.0,111.0,3.0,707
1,163.0,104.0,1.0,77
1,218.0,104.0,1.0,685
1,234.0,104.0,1.0,1288
1,246.0,104.0,2.0,1285
1,79.0,107.0,1.0,683
1,224.0,102.0,3.0,680
1,1.0,107.0,2.0,692
1,10.0,106.0,1.0,676
1,124.0,108.0,1.0,93
1,146.0,106.0,3.0,2588
1,177.0,106.0,1.0,1997
1,205.0,107.0,2.0,694
1,216.0,106.0,1.0,695
1,34.0,109.0,1.0,84
1,36.0,107.0,1.0,2372
1,203.0,109.0,1.0,690
1,225.0,107.0,1.0,696
1,16.0,108.0,1.0,80
1,83.0,108.0,1.0,1280
1,107.0,108.0,11.0,701
1,128.0,112.0,2.0,711
1,155.0,106.0,2.0,702
1,159.0,108.0,1.0,688
1,217.0,110.0,5.0,708
1,221.0,108.0,1.0,697
1,227.0,108.0,1.0,730
1,13.0,109.0,2.0,1290
1,85.0,109.0,1.0,1296
1,151.0,109.0,1.0,1292
1,162.0,110.0,3.0,704
1,198.0,109.0,1.0,700
1,2.0,110.0,1.0,1295
1,14.0,110.0,1.0,1301
1,141.0,110.0,1.0,82
1,17.0,110.0,2.0,2818
1,86.0,112.0,1.0,1662
1,131.0,114.0,1.0,93
1,142.0,111.0,1.0,719
1,153.0,111.0,1.0,703
1,153.0,113.0,2.0,699
1,176.0,111.0,1.0,2000
1,241.0,111.0,3.0,1671
1,252.0,112.0,1.0,2376
1,84.0,112.0,1.0,88
1,88.0,114.0,1.0,2137
1,140.0,112.0,1.0,2631
1,156.0,114.0,1.0,1862
1,198.0,112.0,1.0,1303
1,49.0,112.0,49.0,682
1,148.0,117.0,1.0,95
1,155.0,118.0,17.0,2007
1,174.0,112.0,2.0,715
1,230.0,113.0,1.0,735
1,104.0,114.0,2.0,1666
1,148.0,114.0,1.0,86
1,170.0,115.0,3.0,721
1,172.0,114.0,1.0,726
1,203.0,114.0,2.0,1298
1,134.0,115.0,1.0,1860
1,150.0,116.0,1.0,729
1,131.0,116.0,1.0,1863
1,173.0,118.0,3.0,726
1,75.0,119.0,1.0,97
1,89.0,119.0,1.0,725
1,160.0,119.0,11.0,718
1,225.0,112.0,26.0,2311
1,218.0,120.0,1.0,784
1,231.0,119.0,1.0,1316
1,111.0,124.0,1.0,745
1,159.0,123.0,1.0,746
1,216.0,120.0,1.0,1317
1,229.0,120.0,1.0,739
1,92.0,122.0,1.0,1319
1,110.0,121.0,1.0,1309
1,155.0,124.0,1.0,103
1,198.0,121.0,2.0,742
1,210.0,121.0,1.0,743
1,223.0,121.0,3.0,737
1,226.0,121.0,3.0,738
1,231.0,121.0,1.0,1672
1,198.0,124.0,2.0,104
1,212.0,122.0,1.0,731
1,24.0,123.0,2.0,723
1,179.0,116.0,49.0,1307
1,180.0,123.0,1.0,773
1,191.0,116.0,32.0,1305
1,192.0,123.0,3.0,761
1,196.0,118.0,7.0,1669
1,210.0,123.0,1.0,762
1,229.0,123.0,1.0,1322
1,5.0,124.0,1.0,744
1,95.0,124.0,2.0,1308
1,144.0,128.0,2.0,775
1,144.0,125.0,1.0,105
1,197.0,127.0,1.0,755
1,34.0,125.0,2.0,2012
1,78.0,125.0,1.0,1326
1,132.0,128.0,1.0,1871
1,165.0,124.0,3.0,750
1,183.0,125.0,1.0,1330
1,186.0,124.0,2.0,769
1,217.0,125.0,1.0,2739
1,22.0,127.0,2.0,771
1,51.0,125.0,2.0,749
1,82.0,126.0,2.0,724
1,116.0,128.0,1.0,1320
1,133.0,126.0,1.0,2501
1,146.0,126.0,1.0,106
1,157.0,126.0,1.0,108
1,214.0,126.0,2.0,2675
