from_step,from_point,to_step,to_point,transport_mass,distance
2,57,3,56,0.014285714285714285,0.020702239402237525
2,58,3,57,0.014285714285714285,0.2016297652967473
2,59,3,58,0.014285714285714285,0.15790107851223206
2,62,3,61,0.014285714285714285,0.2994880478875498
2,63,3,62,0.014285714285714285,0.29052512293004873
2,64,3,63,0.014285714285714285,0.14349914446059567
2,65,3,64,0.014285714285714285,0.15425128419777956
2,66,3,65,0.014285714285714285,0.02940222974612012
2,67,3,66,0.014285714285714285,0.23459468469967737
2,69,3,68,0.014285714285714285,0.17478799777733575
