x,y,z,type
24.725692601744413,14.20805994358511,0.0,trisector
36.751243105705846,14.213514130696094,0.0,trisector
55.515986608808845,14.828059318012164,0.0,trisector
23.129049827468418,15.0098504022014,0.0,wedge
37.92685843614716,15.265294641039102,0.0,wedge
39.01516601548096,15.115072181093169,0.0,trisector
55.51209123381585,15.147122620750473,0.0,wedge
55.29475992899916,15.685543309685496,0.0,trisector
87.0,15.0,0.0,trisector
20.0,16.0,0.0,wedge
39.620931981604045,16.430340221338486,0.0,wedge
39.05429670235401,16.205332561436375,0.0,trisector
40.09011042740274,16.709519522082342,0.0,trisector
41.50588360522323,16.05462901906654,0.0,wedge
45.03196732696173,16.1840134550532,0.0,wedge
51.69564702502355,16.99407072903141,0.0,wedge
20.434034805034184,17.023231674116406,0.0,trisector
31.83834438220507,17.473948229917923,0.0,wedge
51.70798961251958,17.033853944905943,0.0,trisector
75.02658035579222,17.41904230686213,0.0,trisector
20.214528029833577,18.211985576013205,0.0,trisector
20.21867999476229,18.272108560476127,0.0,wedge
29.732303350517682,18.163557373375795,0.0,trisector
31.034340611177242,18.359316029028975,0.0,wedge
32.48262411452858,18.31990949938277,0.0,trisector
34.126435891176044,18.81792962184874,0.0,wedge
53.22271349242184,18.85313241410252,0.0,wedge
67.90393167921634,18.30176891390322,0.0,trisector
72.97884250989108,18.4067738834679,0.0,wedge
33.633803610206236,19.130889995337306,0.0,trisector
53.72277925598253,19.192075281503254,0.0,trisector
54.329251183686345,19.35984171217052,0.0,wedge
65.80049262429243,19.67744982102127,0.0,wedge
20.480376681088835,20.57014441543264,0.0,wedge
21.485969204107995,20.9792173384847,0.0,trisector
22.299925538395577,20.732858844213027,0.0,wedge
25.184312894829894,20.20900446766844,0.0,wedge
26.795423877566527,20.561232134819747,0.0,trisector
87.62502536560618,20.894960447570927,0.0,wedge
89.97672411004568,20.43010952802679,0.0,wedge
21.568872105400217,21.099466192572987,0.0,wedge
21.32739175912048,21.671621565646,0.0,trisector
23.130731555885628,21.275439154104173,0.0,trisector
26.297126582598004,21.814826004134723,0.0,trisector
28.087951862766193,21.489467274788282,0.0,wedge
46.046022495750286,21.305098326941057,0.0,wedge
63.33045832496863,21.902285079741382,0.0,wedge
65.14313157392642,21.15667462757806,0.0,trisector
87.65518179293122,21.138316096794856,0.0,trisector
88.41744274740168,21.363445730241015,0.0,trisector
88.33799176153542,21.423074754635934,0.0,wedge
92.0,22.0,0.0,trisector
17.0,22.0,0.0,trisector
21.449161550928963,22.04740113890476,0.0,wedge
21.01633216070938,22.3605640959256,0.0,trisector
90.32735272096829,22.296931520890073,0.0,trisector
90.30467393552432,22.36164851312576,0.0,wedge
92.0,23.0,0.0,wedge
17.809973421824534,23.029990733485555,0.0,wedge
19.659192692021406,23.270113305464697,0.0,wedge
19.278117452255017,23.580961465149382,0.0,trisector
20.182060224292577,23.431704345729706,0.0,trisector
21.68760958814481,23.67393041608895,0.0,wedge
22.941810704337776,23.70351283325669,0.0,trisector
36.102501735553,23.7574257294754,0.0,wedge
38.27312926674498,23.446282188041934,0.0,trisector
39.63351983037924,23.55937779284603,0.0,wedge
53.235161403854335,23.705528041359894,0.0,trisector
89.5931102287103,23.595418377706633,0.0,trisector
15.0,24.0,0.0,wedge
18.33107033197724,24.346273902359357,0.0,trisector
19.2385457288442,24.52106328068607,0.0,wedge
