track_id,time_step,point_id,x,y,z
102,1,114,71.5,51.5,0.0
102,2,113,71.5,51.5,0.0
102,3,112,71.5,51.5,0.0
103,1,20,77.5,45.5,0.0
103,2,21,77.5,45.5,0.0
103,3,22,77.5,45.5,0.0
104,1,220,70.5,57.5,0.0
104,2,219,70.5,57.5,0.0
104,3,218,70.5,57.5,0.0
105,1,76,71.5,49.5,0.0
105,2,76,71.5,49.5,0.0
105,3,75,71.5,49.5,0.0
106,1,146,66.0,53.5,0.0
106,2,145,66.0,53.5,0.0
106,3,144,66.0,53.5,0.0
107,1,215,80.5,56.5,0.0
107,2,213,80.5,56.5,0.0
107,3,212,80.5,56.5,0.0
108,1,148,67.5,53.5,0.0
108,2,147,67.5,53.5,0.0
108,3,146,67.5,53.5,0.0
109,1,17,74.5,45.5,0.0
109,2,18,74.5,45.5,0.0
109,3,19,74.5,45.5,0.0
110,1,229,79.5,57.5,0.0
110,2,228,79.5,57.5,0.0
110,3,227,79.5,57.5,0.0
111,1,40,70.5,47.5,0.0
111,2,41,70.5,47.5,0.0
111,3,41,70.5,47.5,0.0
112,1,92,68.5,50.5,0.0
112,2,91,68.5,50.5,0.0
112,3,90,68.5,50.5,0.0
113,1,80,75.5,49.5,0.0
113,2,80,75.5,49.5,0.0
113,3,79,75.5,49.5,0.0
114,1,159,78.5,53.5,0.0
114,2,158,78.5,53.5,0.0
114,3,157,78.5,53.5,0.0
115,1,132,70.5,52.5,0.0
115,2,131,70.5,52.5,0.0
115,3,130,70.5,52.5,0.0
116,1,85,80.5,49.5,0.0
116,2,85,80.5,49.5,0.0
116,3,84,80.5,49.5,0.0
117,1,231,81.0,57.5,0.0
117,2,230,81.0,57.5,0.0
117,3,229,81.0,57.5,0.0
118,1,193,75.5,55.5,0.0
118,2,192,75.5,55.5,0.0
118,3,191,75.5,55.5,0.0
119,1,56,69.5,48.5,0.0
119,2,56,69.5,48.5,0.0
119,3,56,69.5,48.5,0.0
120,1,107,83.0,50.5,0.0
120,2,106,83.0,50.5,0.0
120,3,105,83.0,50.5,0.0
121,1,6,72.5,44.5,0.0
121,2,6,72.5,44.5,0.0
121,3,7,72.5,44.5,0.0
122,1,175,75.5,54.5,0.0
122,2,174,75.5,54.5,0.0
122,3,173,75.5,54.5,0.0
123,1,136,74.5,52.5,0.0
123,2,135,74.5,52.5,0.0
123,3,134,74.5,52.5,0.0
124,1,138,76.5,52.5,0.0
124,2,137,76.5,52.5,0.0
124,3,136,76.5,52.5,0.0
125,1,112,69.5,51.5,0.0
125,2,111,69.5,51.5,0.0
125,3,110,69.5,51.5,0.0
126,1,110,67.5,51.5,0.0
126,2,109,67.5,51.5,0.0
126,3,108,67.5,51.5,0.0
127,1,4,76.5,44.0,0.0
127,2,4,76.5,44.0,0.0
127,3,4,76.5,44.0,0.0
128,1,141,79.5,52.5,0.0
128,2,140,79.5,52.5,0.0
128,3,139,79.5,52.5,0.0
129,1,42,72.5,47.5,0.0
129,2,43,72.5,47.5,0.0
129,3,43,72.5,47.5,0.0
130,1,188,70.5,55.5,0.0
130,2,187,70.5,55.5,0.0
130,3,186,70.5,55.5,0.0
131,1,152,71.5,53.5,0.0
131,2,151,71.5,53.5,0.0
131,3,150,71.5,53.5,0.0
132,1,206,71.5,56.5,0.0
132,2,204,71.5,56.5,0.0
132,3,203,71.5,56.5,0.0
133,1,157,76.5,53.5,0.0
133,2,156,76.5,53.5,0.0
133,3,155,76.5,53.5,0.0
134,1,44,74.5,47.5,0.0
134,2,45,74.5,47.5,0.0
134,3,45,74.5,47.5,0.0
135,1,164,83.0,53.5,0.0
135,2,163,83.0,53.5,0.0
135,3,162,83.0,53.5,0.0
136,1,170,70.5,54.5,0.0
136,2,169,70.5,54.5,0.0
136,3,168,70.5,54.5,0.0
137,1,200,83.0,55.0,0.0
137,2,199,83.0,55.0,0.0
137,3,198,83.0,55.0,0.0
138,1,227,77.5,57.5,0.0
138,2,226,77.5,57.5,0.0
138,3,225,77.5,57.5,0.0
139,1,236,71.5,58.5,0.0
139,2,235,71.5,58.5,0.0
139,3,233,71.5,58.5,0.0
140,1,184,66.0,55.0,0.0
140,2,183,66.0,55.0,0.0
140,3,182,66.0,55.0,0.0
141,1,22,79.5,46.0,0.0
141,2,23,79.5,46.0,0.0
141,3,23,79.5,46.0,0.0
142,1,143,81.5,52.5,0.0
142,2,142,81.5,52.5,0.0
142,3,141,81.5,52.5,0.0
143,1,24,68.0,47.0,0.0
143,2,25,68.0,47.0,0.0
143,3,25,68.0,47.0,0.0
144,1,161,80.5,53.5,0.0
144,2,160,80.5,53.5,0.0
144,3,159,80.5,53.5,0.0
145,1,98,74.5,50.5,0.0
145,2,97,74.5,50.5,0.0
145,3,96,74.5,50.5,0.0
146,1,53,67.0,48.5,0.0
146,2,53,67.0,48.5,0.0
146,3,53,67.0,48.5,0.0
147,1,94,70.5,50.5,0.0
147,2,93,70.5,50.5,0.0
147,3,92,70.5,50.5,0.0
148,1,69,82.0,48.5,0.0
148,2,69,82.0,48.5,0.0
148,3,69,82.0,48.5,0.0
149,1,62,75.5,48.5,0.0
149,2,62,75.5,48.5,0.0
149,3,62,75.5,48.5,0.0
150,1,47,77.5,47.5,0.0
150,2,48,77.5,47.5,0.0
150,3,48,77.5,47.5,0.0
151,1,163,82.5,53.5,0.0
151,2,162,82.5,53.5,0.0
151,3,161,82.5,53.5,0.0
152,1,108,66.0,51.5,0.0
152,2,107,66.0,51.5,0.0
152,3,106,66.0,51.5,0.0
153,1,82,77.5,49.5,0.0
153,2,82,77.5,49.5,0.0
153,3,81,77.5,49.5,0.0
154,1,84,79.5,49.5,0.0
154,2,84,79.5,49.5,0.0
154,3,83,79.5,49.5,0.0
155,1,72,67.5,49.5,0.0
155,2,72,67.5,49.5,0.0
155,3,71,67.5,49.5,0.0
156,1,61,74.5,48.5,0.0
156,2,61,74.5,48.5,0.0
156,3,61,74.5,48.5,0.0
